City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Carballo,ES,2022-01-28 00:28:01,43.213,-8.691,46.67,88,3,4.41
176,Dhidhdhoo,MV,2022-01-28 00:28:01,6.8833,73.1,78.98,65,30,8.41
177,Eidsvag,NO,2022-01-28 00:28:01,62.7767,8.0668,38.05,79,100,8.7
178,Lagoa,PT,2022-01-28 00:28:02,39.05,-27.9833,59.11,74,22,16.42
179,Kirkenaer,NO,2022-01-28 00:28:02,60.4564,12.0582,38.05,64,94,11.65
180,Kota Kinabalu,MY,2022-01-28 00:28:03,5.9749,116.0724,78.78,89,20,0.0
181,Sainte-Anne-Des-Monts,CA,2022-01-28 00:28:03,49.124,-66.4924,13.87,44,100,10.36
182,Balgazyn,RU,2022-01-28 00:28:03,51.0,95.2,-5.48,100,100,0.96
183,Bonanza,NI,2022-01-28 00:28:04,14.0289,-84.591,71.69,82,50,2.48
184,Flinders,AU,2022-01-28 00:28:04,-34.5833,150.8552,85.05,66,11,5.99
185,Bonthe,SL,2022-01-28 00:28:05,7.5264,-12.505,78.58,81,46,5.7
186,Sioux Lookout,CA,2022-01-28 00:29:05,50.1001,-91.917,-3.62,84,20,5.75
187,Mercedes,AR,2022-01-28 00:29:05,-34.6515,-59.4307,67.84,62,7,5.53
188,Tsaratanana,MG,2022-01-28 00:29:06,-16.7833,47.65,70.21,83,12,7.25
189,Bowen,AU,2022-01-28 00:29:06,-20.0167,148.2333,82.62,76,100,19.15
190,Mumford,GH,2022-01-28 00:29:07,5.2618,-0.759,78.51,87,28,6.31
191,Norman Wells,CA,2022-01-28 00:29:07,65.282,-126.8329,-0.36,78,100,3.44
192,Aykhal,RU,2022-01-28 00:27:16,66.0,111.5,-15.54,99,72,6.96
193,Mareeba,AU,2022-01-28 00:29:08,-17.0,145.4333,81.48,86,99,2.48
194,San Rafael,AR,2022-01-28 00:29:08,-34.6177,-68.3301,72.39,56,59,3.27
195,La Tuque,CA,2022-01-28 00:29:08,47.4334,-72.7824,8.85,78,100,6.91
196,Boras,SE,2022-01-28 00:29:09,57.721,12.9401,38.68,71,91,12.41
197,Fairbanks,US,2022-01-28 00:24:51,64.8378,-147.7164,-6.39,73,100,3.44
198,Vila,PT,2022-01-28 00:29:09,42.0304,-8.1588,42.93,76,2,4.47
199,Vardo,NO,2022-01-28 00:25:10,70.3705,31.1107,26.69,89,100,9.04
200,Bredasdorp,ZA,2022-01-28 00:29:10,-34.5322,20.0403,65.28,88,1,6.91
201,Lashio,MM,2022-01-28 00:29:10,22.9333,97.75,49.73,98,9,0.67
202,Barra Do Garcas,BR,2022-01-28 00:29:10,-15.89,-52.2567,72.52,96,66,4.21
203,Durban,ZA,2022-01-28 00:29:11,-29.8579,31.0292,79.92,93,85,3.24
204,Kaitangata,NZ,2022-01-28 00:25:39,-46.2817,169.8464,59.94,61,35,5.88
205,Tevriz,RU,2022-01-28 00:29:11,57.509,72.4042,5.22,98,79,4.76
206,Hofn,IS,2022-01-28 00:28:00,64.2539,-15.2082,32.74,99,100,4.45
207,Miracema Do Tocantins,BR,2022-01-28 00:29:12,-9.5618,-48.3967,72.5,92,100,1.63
208,Voi,KE,2022-01-28 00:29:12,-3.3945,38.563,69.6,87,71,3.98
209,Amapa,BR,2022-01-28 00:29:13,1.0,-52.0,71.28,100,100,1.88
210,Te Anau,NZ,2022-01-28 00:29:13,-45.4167,167.7167,69.4,40,69,1.52
211,Taltal,CL,2022-01-28 00:29:14,-25.4,-70.4833,67.51,77,1,6.38
212,La Union,PE,2022-01-28 00:29:14,-5.4,-80.75,75.16,69,56,14.14
213,Nuuk,GL,2022-01-28 00:29:14,64.1835,-51.7216,12.81,62,20,10.36
214,Bela,IN,2022-01-28 00:29:15,25.9333,81.9833,47.37,86,0,7.2
215,Krasnoselkup,RU,2022-01-28 00:29:15,65.7,82.4667,1.47,90,100,17.78
216,Barrow,US,2022-01-28 00:29:16,71.2906,-156.7887,-16.58,76,0,8.05
217,Nizwa,OM,2022-01-28 00:29:16,22.9333,57.5333,62.28,46,0,0.87
218,Georgetown,MY,2022-01-28 00:28:13,5.4112,100.3354,78.89,89,20,4.61
219,Banff,CA,2022-01-28 00:29:17,51.1762,-115.5698,33.03,58,50,9.22
220,San Carlos,VE,2022-01-28 00:29:17,9.6612,-68.5827,78.57,55,22,4.43
221,Mandapeta,IN,2022-01-28 00:29:17,16.8667,81.9333,64.81,86,6,6.31
222,Biak,ID,2022-01-28 00:29:18,-0.9131,122.8766,78.35,82,100,1.07
223,Praia Da Vitoria,PT,2022-01-28 00:29:18,38.7333,-27.0667,57.45,94,40,16.6
224,Ancud,CL,2022-01-28 00:24:24,-41.8697,-73.8203,72.93,79,0,4.85
225,Mahebourg,MU,2022-01-28 00:24:31,-20.4081,57.7,73.69,83,40,5.75
226,Antofagasta,CL,2022-01-28 00:25:26,-23.65,-70.4,65.98,79,77,6.49
227,Bagar,IN,2022-01-28 00:29:19,28.1874,75.5005,48.94,41,0,3.74
228,Hobyo,SO,2022-01-28 00:29:19,5.3505,48.5268,75.97,71,100,19.37
229,Boueni,YT,2022-01-28 00:29:19,-12.9025,45.0761,78.78,70,86,4.76
230,Luderitz,NA,2022-01-28 00:29:20,-26.6481,15.1594,67.59,74,0,22.17
231,Skibbereen,IE,2022-01-28 00:29:20,51.55,-9.2667,40.8,90,84,4.97
232,Coihaique,CL,2022-01-28 00:26:11,-45.5752,-72.0662,79.41,29,0,4.61
233,Cabo San Lucas,MX,2022-01-28 00:29:21,22.8909,-109.9124,75.51,51,20,8.05
234,Saint-Pierre,RE,2022-01-28 00:24:09,-21.3393,55.4781,73.08,73,75,5.75
235,Alencon,FR,2022-01-28 00:24:10,48.4333,0.0833,39.99,99,100,3.24
236,Busselton,AU,2022-01-28 00:24:10,-33.65,115.3333,67.05,60,0,12.35
237,Kapaa,US,2022-01-28 00:31:15,22.0752,-159.319,80.11,75,0,1.01
238,Castro,BR,2022-01-28 00:31:15,-24.7911,-50.0119,65.62,96,100,3.15
239,Vaini,TO,2022-01-28 00:24:11,-21.2,-175.2,82.8,77,73,15.52
240,Pangnirtung,CA,2022-01-28 00:22:34,66.1451,-65.7125,-14.04,89,100,6.42
241,Rimbey,CA,2022-01-28 00:30:33,52.6334,-114.2353,32.92,78,100,6.02
242,Cape Town,ZA,2022-01-28 00:28:55,-33.9258,18.4232,65.26,72,20,10.36
243,La Ronge,CA,2022-01-28 00:31:16,55.1001,-105.2842,8.85,78,100,2.3
